Date,Task Description,Lunch?,Start Time,End Time,Total Decimal Hours,Week Of,Thru ,Total Decimal Weekly Hours,Month Of ,Total Decimal Monthly Hours
"October 3, 2024",,Lunch?,,,,,,,October,
"October 4, 2024",,Lunch?,,,,,,,October,
"October 5, 2024",,Lunch?,,,,,,,October,
"October 6, 2024",,Lunch?,,,,,,0.00,October,
"October 7, 2024",,Lunch?,,,,,,,October,
"October 8, 2024",,Lunch?,,,,,,,October,
"October 9, 2024",,Lunch?,,,,,,,October,
"October 10, 2024",,Lunch?,,,,,,,October,
"October 11, 2024",,Lunch?,,,,,,,October,
"October 12, 2024",,Lunch?,,,,,,,October,
"October 13, 2024",,Lunch?,,,,,,0.00,October,
"October 14, 2024",,Lunch?,,,,,,,October,
"October 15, 2024",,Lunch?,,,,,,,October,
"October 16, 2024",,Lunch?,,,,,,,October,
"October 17, 2024",,Lunch?,,,,,,,October,
"October 18, 2024",,Lunch?,,,,,,,October,
"October 19, 2024",,Lunch?,,,,,,,October,
"October 20, 2024",,Lunch?,,,,,,0.00,October,
"October 21, 2024",,Lunch?,,,,,,,October,
"October 22, 2024",,Lunch?,,,,,,,October,
"October 23, 2024",,Lunch?,,,,,,,October,
"October 24, 2024",,Lunch?,,,,,,,October,
"October 25, 2024",,Lunch?,,,,,,,October,
"October 26, 2024",,Lunch?,,,,,,,October,
"October 27, 2024",,Lunch?,,,,,,0.00,October,
"October 28, 2024",,Lunch?,,,,,,,October,
"October 29, 2024",,Lunch?,,,,,,,October,
"October 30, 2024",,Lunch?,,,,,,,October,
"October 31, 2024",,Lunch?,,,,,,0.00,October,0.00
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,
,,,,,,,,,December,